[36m 
############################### DATA ACQUISITION ############################### [39m
Data has been correctly loaded from ../../config/files/dataset_paths.yaml file
Data has been correctly loaded from ../../config/files/json_paths.yaml file
Data has been correctly loaded from ../../json_dir/indexes/methylation_names.json file
Data has been correctly loaded from ../../data/datasets/methylation_and_overall_survival_dataset.csv file
[36m 
################### EXPLORATORY DATA ANALYSIS with RAW DATA #################### [39m
[36m 
############################ FEATURES PREPROCESSING ############################ [39m
ADMITTED SAMPLES VALUES:
	--> 33 samples with a label lower than 1000
	--> 47 samples with a label bigger than 3000
[36m 
############################## FEATURE SELECTION ############################### [39m
PRINCIPAL COMPONENT ANALYSIS:
	--> New Feature Space Dimension: 80
CORRELATION FILTER:
	--> New Feature Space Dimension: 10
[36m 
############################## DATASET SPLITTING ############################### [39m
DIMENSIONS:
	--> Training Set: 64
	--> Testing Set: 16
[36m 
############################### SKLEARN TO TORCH ############################### [39m
Hidden Size: [10, 5], Learning Rate: 0.01, Batch Size: 4, Alpha: 0.01, Mean Accuracy: 0.5013
Hidden Size: [10, 5], Learning Rate: 0.01, Batch Size: 4, Alpha: 0.005, Mean Accuracy: 0.5756
Hidden Size: [10, 5], Learning Rate: 0.01, Batch Size: 4, Alpha: 0.001, Mean Accuracy: 0.5769
Hidden Size: [10, 5], Learning Rate: 0.01, Batch Size: 4, Alpha: 0.0001, Mean Accuracy: 0.5321
Hidden Size: [10, 5], Learning Rate: 0.01, Batch Size: 8, Alpha: 0.01, Mean Accuracy: 0.5000
Hidden Size: [10, 5], Learning Rate: 0.01, Batch Size: 8, Alpha: 0.005, Mean Accuracy: 0.6564
Hidden Size: [10, 5], Learning Rate: 0.01, Batch Size: 8, Alpha: 0.001, Mean Accuracy: 0.4808
Hidden Size: [10, 5], Learning Rate: 0.01, Batch Size: 8, Alpha: 0.0001, Mean Accuracy: 0.5962
Hidden Size: [10, 5], Learning Rate: 0.01, Batch Size: 16, Alpha: 0.01, Mean Accuracy: 0.4718
Hidden Size: [10, 5], Learning Rate: 0.01, Batch Size: 16, Alpha: 0.005, Mean Accuracy: 0.5141
Hidden Size: [10, 5], Learning Rate: 0.01, Batch Size: 16, Alpha: 0.001, Mean Accuracy: 0.5808
Hidden Size: [10, 5], Learning Rate: 0.01, Batch Size: 16, Alpha: 0.0001, Mean Accuracy: 0.5769
